Student Roll Number, Course ID 
AE15B001,AS4600
AE15B003,AS5711
AE15B005,AS6020
AE15B005,MA2040
AE15B006,AS5550
AE15B006,MS4120
AE15B009,MS3510
AE15B009,AS5570
AE15B013,AS6020
AE15B013,BT2010
AE15B014,AS5545
AE15B014,AS5711
AE15B014,AS5100
AE15B015,MA2040
AE15B016,HS4001
AE15B016,MA2040
AE15B016,AS6020
AE15B018,MA2040
AE15B021,BT2010
AE15B021,HS4210
AE15B021,AS6020
AE15B022,HS4001
AE15B022,CH5120
AE15B022,AS5370
AE15B023,AS5370
AE15B026,ID5030
AE15B029,AS5470
AE15B029,CS2700
AE15B030,AS5900
AE15B032,HS3007
AE15B032,MS4110
AE15B033,AS5100
AE15B035,MA2040
AE15B035,HS3007
AE15B035,AS5570
AE15B036,AS5900
AE15B036,AS6420
AE15B037,AS4600
AE15B037,HS6940
AE15B038,CH5170
AE15B038,MM5024
AE15B039,AS5570
AE15B040,BT3051
AE15B040,MA2130
AE15B042,MA2040
AE15B042,AS6020
AE15B043,EE5204
AE15B046,BT3072
AE15B052,AS5711
AE15B053,AS5711
AE15B055,AS6020
AE15B055,HS4010
AE15B058,MA2040
AE15B059,HS4290
AE15B059,MA2040
AE16B002,MA2031
AE16B009,AS5550
AE16B015,AS5570
AE16B021,AS5550
AE16B022,MS3510
AE16B022,MS4100
AE16B023,AS5711
AE16B026,AS5420
AE16B042,AS5711
AE16B104,MA2040
AE16B105,AS5711
AE16B108,AS5711
AE16B111,AS5711
AE16B115,ID5030
AE17B020,ID5030
AE17B024,ME2201
AE17B025,BT2012
AE17B028,HS4571
AE17B033,HS4571
AE17B043,MS3610
AE17B045,CS5020
AE17B102,PH3500
BE15B005,HS4001
BE15B006,BT6230
BE15B006,BT5012
BE15B006,BT6320
BE15B011,BT5370
BE15B011,BT2012
BE15B013,MA2040
BE15B014,MS6010
BE15B015,BT4110
BE15B015,BT2062
BE15B018,BT6240
BE15B018,MA2040
BE15B021,BT4110
BE15B021,BT1022
BE15B021,BT2062
BE15B022,BT4110
BE15B022,CH5170
BE15B022,BT6320
BE15B023,ED6001
BE15B025,HS4300
BE15B025,BT6320
BE15B026,BT4110
BE15B028,CH5170
BE15B029,CS6024
BE15B029,BT2012
BE15B032,HS3420
BE16B004,BT3051
BE16B004,CH5016
BE16B005,BT5011
BE16B006,BT3072
BE16B014,BT3072
BE16B016,BT5071
BE16B018,HS4290
BE16B019,BT3230
BE16B022,BT3230
BE16B030,BT5011
BE16B030,BT3072
BE16B031,MS4100
BE16B035,BT5071
BS15B001,BT5012
BS15B001,BT6270
BS15B001,BT5011
BS15B003,BT5011
BS15B005,MS3520
BS15B005,CH5170
BS15B012,HS2050
BS15B018,BT5011
BS15B020,BT5011
BS16B001,BT5012
BS16B003,MS3520
BS16B004,CH5016
BS16B004,CE3030
BS16B013,CS6100
BS16B022,BT3230
BS16B022,BT5012
BS16B023,MS3520
BS16B024,MS6010
BS16B026,GN5001
BS16B028,MS3520
BS16B028,EP2110
BS16B030,BT3032
CE15B003,CE4810
CE15B004,HS4001
CE15B004,CE5020
CE15B004,CE6010
CE15B004,CE4670
CE15B004,CE4720
CE15B005,CE5720
CE15B006,CE5870
CE15B006,CE4810
CE15B007,CE6750
CE15B007,CE4670
CE15B010,CE4940
CE15B012,CE5010
CE15B013,CE6010
CE15B013,HS6940
CE15B017,CE4810
CE15B017,CE4670
CE15B017,CE5120
CE15B017,CE5010
CE15B024,CE5910
CE15B024,CE4810
CE15B024,CE5900
CE15B026,CE5870
CE15B028,CE4810
CE15B028,CE4670
CE15B028,CE5120
CE15B029,HS3007
CE15B029,CE5120
CE15B030,CE4810
CE15B030,CE5900
CE15B031,CE5620
CE15B032,CE5900
CE15B032,CE4670
CE15B037,CE5870
CE15B040,MA2040
CE15B040,CE5950
CE15B041,CE5910
CE15B042,MS4110
CE15B042,CE4810
CE15B044,CE5120
CE15B047,CE5810
CE15B047,CE4810
CE15B055,HS4001
CE15B062,CE4720
CE15B064,CE5870
CE15B065,CE4810
CE15B067,MA2040
CE15B067,CE5620
CE15B067,HS3060
CE15B068,CE5470
CE15B069,CE6780
CE15B071,CE5950
CE15B071,CE4670
CE15B072,CH5170
CE15B073,HS3007
CE15B073,CE4810
CE15B074,CE4720
CE15B075,HS2050
CE15B076,HS3420A
CE15B076,CE4810
CE15B078,CE4810
CE15B084,CE4810
CE15B084,HS4350
CE15B085,MA2040
CE15B085,CE5470
CE15B085,HS2050
CE15B086,MA2040
CE15B087,CE4810
CE15B088,CE5470
CE15B088,CE5950
CE15B091,CE5530
CE15B092,CE5460
CE15B093,HS3007
CE15B093,MA2040
CE15B093,CE5620
CE15B094,CE5831
CE15B094,CE5910
CE15B094,CE5810
CE15B094,CE5620
CE15B094,CE5950
CE15B095,CE6010
CE15B095,HS6940
CE15B096,MS3520
CE15B096,MA2040
CE15B099,MA6270
CE15B100,CS6700
CE15B100,HS3031
CE15B100,CE5460
CE15B101,HS3007
CE15B103,CE5010
CE15B105,CE6330
CE15B105,CE5330
CE15B105,HS3060
CE16B007,MA2040
CE16B030,CE3310
CE16B039,CE3310
CE16B054,HS4290
CE16B060,MA2031
CE16B106,CE4670
CE16B118,MA2040
CE17B015,HS4002
CE17B018,CE6750
CE17B019,HS4002
CE17B020,CE4810
CE17B022,MA5310
CE17B028,HS4002
CE17B044,HS4002
CE17B047,MA2040
CE17B049,HS4002
CE17B050,MA5310
